,comment_author,star_rating,comment_date,comment_title,comment
85,Amazon Customer,1.0 out of 5 stars,"Reviewed in the United States on April 25, 2019",To be honest I have never tried seaweed before.,"  With that being said, these things taste like a nasty fish market smells. Maybe all seaweed is like this? Also, I got the sea salt versions and I don't think they had any salt on them whatsoever? Again, maybe they taste how they are supposed to but maaaannn... I just could not go any farther than the first bite. They will be given away or thrown out."
86,Lela The Influencer,5.0 out of 5 stars,"Reviewed in the United States on July 26, 2020",Give me some organic seaweed,   I really like this brand of organic sea salt premium roasted seaweed it comes as a 20 pack it’s great for the family healthy for the kids from mom’s grandpa’s we love this product
87,Nadya B.,4.0 out of 5 stars,"Reviewed in the United States on April 26, 2020",Very oily seaweed,"  This seaweed is very oily compared to other brands of seaweed I've had. Flavor and saltiness is great, but they're seriously oily and it gets all over my fingers. It takes away from the enjoyment of eating it for me."
88,Marie Samaniego,5.0 out of 5 stars,"Reviewed in the United States on May 12, 2020",Great snack,  This product is amazing I love the way they taste. I also like that they are packaged in a serving so you can’t over eat. Great for snacking and staying healthy. I will definitely be buying another or two more.
89,keith,1.0 out of 5 stars,"Reviewed in the United States on June 13, 2020",Not very tasty - yuck.,"  I wanted to like these, but they’re kinda gross. They’re crisp and the packaging was perfect, just kinda expected them to not have a weird after taste. Would love to return if I could, but probably can’t and now have 20 packs of seaweed chips that I will probably feed to the fish."
90,Taryn,5.0 out of 5 stars,"Reviewed in the United States on September 2, 2019",Great little snack.,  My 10 year old is obsessed with seaweed!  The teriyaki flavor is her favorite.  They are a great little snack when you feel like muching on something.
91,Happy-Go-Pucky,5.0 out of 5 stars,"Reviewed in the United States on January 12, 2020",I love these things,"  I like all their flavors, but my go to is teriyaki. It's the perfect balance of salty and sweet. These things are a great snack, and a perfect chip replacement, while being way better for you. They taste great, and are totally guilt free."
92,Karina,5.0 out of 5 stars,"Reviewed in the United States on May 6, 2020",These are amazing.,  I had been searching for these for quite some time. They are the salty light snack everyone craves around 2:oo p.m. everyday. Sometimes I have a sugar unbalance and need something salty. These are delicious.
93,Jess,4.0 out of 5 stars,"Reviewed in the United States on April 17, 2020",Delish - hint of an aftertaste,  I gave this 4 stars bc I hate the packaging as it’s super wasteful but I’m the one that bought it this way.... This also tastes so good and it has the perfect dash of sea salt taste but there is a very funky aftertaste with this.  It’s subtle but I’m sensitive to things like that.  It wasn’t unbearable but it’s there.  My husband didn’t notice the aftertaste but he also only ate one piece.  I ate the rest of the package.
94,Keith,5.0 out of 5 stars,"Reviewed in the United States on April 1, 2020",Tasty and Expensive.,"  Compared to say Costco or the Asian Food Markets, this is pretty costly, but it is REALLY tasty. So Im at an impasse. It's something I'd definitely buy again , but not unless it goes on sale, or I get a winfall."
95,Aaron B.,4.0 out of 5 stars,"Reviewed in the United States on June 16, 2020",tasty and healthy,  good enough my girlfriend ate them all and i only got to eat like 3 pieces when she wasn't looking. would definitely buy again once i can find a hiding spot from her. intended to try making baby sushi with them but never got the chance because my seaweed gremlin doesn't understand the concept of sharing yet despite effectively being a preschool teacher
96,LvrOfBks,5.0 out of 5 stars,"Reviewed in the United States on May 5, 2020",Tasty. Crunchy. Salty.,  More in a package...more. I really like the flavor-the saltiness and crunch. Perfect keto snack.I have bought 3 packs of 24.Have to limit myself to two packs per day.Sooo good.
97,Besa,5.0 out of 5 stars,"Reviewed in the United States on November 30, 2019",Dried seaweed,"  My kids love these. There's a dessicant packet in each one, so keep an eye on small children with these. Also, mine have been known to cram too much of it in their mouths at once. But it's a good way to get them their trace minerals."
98,Megan,5.0 out of 5 stars,"Reviewed in the United States on June 22, 2019","Tasty, healthy and addicting!",  I love the umame flavor of roasted seaweed. These preportioned trays are awesome to grab and go. These help take away my cravings for chips. BEWARE they do shed some flakes and arent necessarily simple to pop in your mouth. I fold each sheet twice and then eat it to avoid the sprinkle of  seaweed flakes everywhere.
99,Shoreldy,5.0 out of 5 stars,"Reviewed in the United States on December 17, 2019",These are habit forming- great taste!,  I love the teriyaki flavor! These are my favorite seaweed snack. I take a package to work. Satisfies cravings in a healthy way— plus they’re organic. Great source of iodine if you use sea salt instead of iodized table salt.
100,Saucey710,3.0 out of 5 stars,"Reviewed in the United States on June 11, 2020",Delicious but expensive and a waste of plastic,  I️ LOVE how delicious these are but honestly there are so little in a pack. I️ wish they at least sold larger individual packages that way it didn’t feel like such a waste of plastic and money.
101,Stsierra ,3.0 out of 5 stars,"Reviewed in the United States on June 1, 2019",Um yuck!,  Didn’t know what to expect when I purchased this because I had never tried roasted seaweed snacks. Well I hated it! I could not get over the texture and taste! How do people eat this stuff and like it??? My son spit it right back out at me and I can’t say I blame him!
102,G. Nesta,5.0 out of 5 stars,"Reviewed in the United States on September 21, 2018","Healthy, crunchy, and addictive.","  Wow, these seaweed snacks are so good.  If you're not used to seaweed, it's crunchy and salty and so addictive.  I have thyroid issues and asked the doctor if i could eat these (because of the iodine content) and he said yes.  So, i subscribe to them.  One little packet has only about 25 calories and you're eating a vegetable too!"
103,Sean,5.0 out of 5 stars,"Reviewed in the United States on April 29, 2020",Kids like them but my kids eat strange stuff.,  Ordered for my daughter she like trying new things. She loves them. I think they have a little oceany flavor. If you’ve ever got ocean water in your mouth. A little salt fish taste.
104,Melissa Belle,5.0 out of 5 stars,"Reviewed in the United States on October 14, 2019",Once you pop you can’t stop!,  These are amazing! The flavor is spectacular! They aren’t under or over flavored but just right. I end up eating bag after bag. I love theat they are non GMO and I feel good about eating them. I highly recommend as a light snack!
105,April Burke,2.0 out of 5 stars,"Reviewed in the United States on July 28, 2020",Not For Me,"  These taste too fishy for me to eat. I’m going to give them away, because I just can’t stomach them. They are super fresh though & the packaging is great!"
